T: SNK Crushers
Ben Zobrist, "(ChC - 2B,OF)"
Jimmy Nelson, "(Mil - SP)"
Héctor Santiago, "(Min - SP)"
Henry Owens, "(Bos - SP)"
Ariel Miranda, "(Sea - SP,RP)"
Cody Reed, "(Cin - SP)"
Pedro Strop, "(ChC - RP)"
Lance McCullers, "(Hou - SP)"
T: Necessarily Possible
Kurt Suzuki, "(Min - C)"
John Jaso, "(Pit - 1B,OF)"
Ian Kinsler, "(Det - 2B)"
Yangervis Solarte, "(SD - 1B,2B,3B)"
Jordy Mercer, "(Pit - SS)"
Christian Yelich, "(Mia - CF)"
Odubel Herrera, "(Phi - CF)"
Seth Smith, "(Sea - OF)"
Curtis Granderson, "(NYM - CF)"
Chris Sale, "(CWS - SP)"
Jake Odorizzi, "(TB - SP)"
Ervin Santana, "(Min - SP)"
Julio Teherán, "(Atl - SP)"
Matt Cain, "(SF - SP)"
Brad Brach, "(Bal - RP)"
Drew Pomeranz, "(Bos - SP,RP)"
Alex Wilson, "(Det - RP)"
Brandon Maurer, "(SD - RP)"
Brock Holt, "(Bos - 1B,2B,3B,SS,OF)"
Cody Asche, "(Phi - 3B,OF)"
Michael Conforto, "(NYM - CF)"
Matt Wieters, "(Bal - C)"
Noah Syndergaard, "(NYM - SP)"
Randall Delgado, "(Ari - RP)"
Tyler Chatwood, "(Col - SP,RP)"
T: Maya's Mysteries
Buster Posey, "(SF - C,1B)"
Justin Turner, "(LAD - 1B,3B)"
José Altuve, "(Hou - 2B)"
Danny Valencia, "(Oak - 1B,3B,OF)"
Carlos Correa, "(Hou - SS)"
Adam Jones, "(Bal - CF)"
Charlie Blackmon, "(Col - CF)"
Kris Bryant, "(ChC - 1B,3B,OF)"
José Reyes, "(NYM - 3B,SS)"
Jake Arrieta, "(ChC - SP)"
Jason Hammel, "(ChC - SP)"
Félix Hernández, "(Sea - SP)"
John Lackey, "(ChC - SP)"
Drew Smyly, "(TB - SP)"
Aroldis Chapman, "(ChC - RP)"
Juan Nicasio, "(Pit - SP,RP)"
Michael Feliz, "(Hou - RP)"
Ryan Dull, "(Oak - RP)"
Yuli Gurriel, "(Hou - 3B)"
Starling Marte, "(Pit - CF)"
Josh Harrison, "(Pit - 2B,3B,OF)"
Chris Taylor, "(LAD - 2B,3B,SS)"
Shin-soo Choo, "(Tex - OF)"
Will Harris, "(Hou - RP)"
Ken Giles, "(Hou - RP)"
Stephen Strasburg, "(Was - SP)"
Gerrit Cole, "(Pit - SP)"
Brandon McCarthy, "(LAD - SP)"
T: The Outliers
Yadier Molina, "(StL - C)"
Mark Teixeira, "(NYY - 1B)"
Jurickson Profar, "(Tex - 1B,2B,3B,SS,OF)"
Trevor Plouffe, "(Min - 1B,3B)"
Xander Bogaerts, "(Bos - SS)"
Andrew McCutchen, "(Pit - CF)"
Jason Heyward, "(ChC - CF)"
Jayson Werth, "(Was - OF)"
Ichiro Suzuki, "(Mia - CF)"
Kyle Hendricks, "(ChC - SP)"
Gio González, "(Was - SP)"
Edinson Vólquez, "(KC - SP)"
Jake Peavy, "(SF - SP,RP)"
Hunter Strickland, "(SF - RP)"
Kevin Jepsen, "(TB - RP)"
Heath Hembree, "(Bos - RP)"
Martín Prado, "(Mia - 2B,3B)"
Justin Smoak, "(Tor - 1B)"
Adrián González, "(LAD - 1B)"
Norichika Aoki, "(Sea - CF)"
Evan Gattis, "(Hou - C,OF)"
Fernando Rodney, "(Mia - RP)"
Michael Tonkin, "(Min - RP)"
Dan Otero, "(Cle - RP)"
Aaron Blair, "(Atl - SP)"
Koji Uehara, "(Bos - RP)"
T: Chibe's Crushers '13
Salvador Pérez, "(KC - C)"
Mitch Moreland, "(Tex - 1B)"
Dee Gordon, "(Mia - 2B)"
Jonathan Villar, "(Mil - 2B,3B,SS)"
Elvis Andrus, "(Tex - SS)"
Carlos Gómez, "(Tex - CF)"
Rajai Davis, "(Cle - CF)"
Hernán Pérez, "(Mil - 2B,3B,CF)"
Howie Kendrick, "(LAD - 1B,2B,3B,OF)"
José Quintana, "(CWS - SP)"
Scott Kazmir, "(LAD - SP)"
Mike Fiers, "(Hou - SP)"
Zach Davies, "(Mil - SP)"
Andrew Cashner, "(Mia - SP)"
Tyler Clippard, "(NYY - RP)"
A.J. Ramos, "(Mia - RP)"
Sam Dyson, "(Tex - RP)"
Jeurys Familia, "(NYM - RP)"
Aaron Hill, "(Bos - 2B,3B)"
Gerardo Parra, "(Col - 1B,CF)"
Matt Carpenter, "(StL - 1B,2B,3B)"
Sean Doolittle, "(Oak - RP)"
Jeremy Jeffress, "(Tex - RP)"
A.J. Griffin, "(Tex - SP)"
Jon Gray, "(Col - SP)"
Matt Harvey, "(NYM - SP)"
T: Mike Kingery
Russell Martin, "(Tor - C)"
Paul Goldschmidt, "(Ari - 1B)"
Devon Travis, "(Tor - 2B)"
César Hernández, "(Phi - 2B,3B,SS)"
Trevor Story, "(Col - SS)"
Jacoby Ellsbury, "(NYY - CF)"
Hanley Ramírez, "(Bos - 1B,OF)"
Carlos Beltrán, "(Tex - OF)"
Melky Cabrera, "(CWS - OF)"
Kendall Graveman, "(Oak - SP)"
J.A. Happ, "(Tor - SP)"
Jeff Samardzija, "(SF - SP)"
Logan Verrett, "(NYM - SP,RP)"
Shelby Miller, "(Ari - SP)"
Roberto Osuna, "(Tor - RP)"
Jake McGee, "(Col - RP)"
Sergio Romo, "(SF - RP)"
Cam Bedrosian, "(LAA - RP)"
Scooter Gennett, "(Mil - 2B)"
Jarrod Dyson, "(KC - CF)"
Alex Gordon, "(KC - OF)"
Micah Johnson, "(LAD - 2B)"
Austin Hedges, "(SD - C)"
Logan Morrison, "(TB - 1B)"
Ryan Zimmerman, "(Was - 1B)"
Mike Moustakas, "(KC - 3B)"
Chris Tillman, "(Bal - SP)"
T: NYY's Dirty Sanchez
Gary Sánchez, "(NYY - C)"
Víctor Martínez, "(Det - 1B)"
José Peraza, "(Cin - 2B,SS,CF)"
Daniel Murphy, "(Was - 1B,2B,3B)"
Eduardo Núñez, "(SF - 3B,SS)"
Trea Turner, "(Was - 2B,CF)"
Domingo Santana, "(Mil - CF)"
Adam Duvall, "(Cin - OF)"
Willson Contreras, "(ChC - C,OF)"
Trevor Bauer, "(Cle - SP,RP)"
Hisashi Iwakuma, "(Sea - SP)"
Tyler Skaggs, "(LAA - SP)"
Ian Kennedy, "(KC - SP)"
Jharel Cotton, "(Oak - SP,RP)"
Edwin Díaz, "(Sea - SP,RP)"
Chris Devenski, "(Hou - SP,RP)"
Luis Cessa, "(NYY - SP,RP)"
Vince Velásquez, "(Phi - SP,RP)"
Keon Broxton, "(Mil - CF)"
A.J. Pollock, "(Ari - CF)"
Joe Mauer, "(Min - 1B)"
Robbie Ray, "(Ari - SP)"
Blake Snell, "(TB - SP)"
Archie Bradley, "(Ari - SP)"
Wily Peralta, "(Mil - SP)"
Tyson Ross, "(SD - SP)"
T: Quantum Fastball
Travis d'Arnaud, "(NYM - C)"
Adam Lind, "(Sea - 1B)"
Robinson Canó, "(Sea - 2B)"
Nolan Arenado, "(Col - 3B)"
Starlin Castro, "(NYY - 2B,SS)"
Adam Eaton, "(CWS - CF)"
Carlos González, "(Col - OF)"
Joc Pederson, "(LAD - CF)"
Ben Paulsen, "(Col - 1B,OF)"
Chris Archer, "(TB - SP)"
Madison Bumgarner, "(SF - SP)"
Clay Buchholz, "(Bos - SP,RP)"
José Fernández, "(Mia - SP)"
Aaron Nola, "(Phi - SP)"
Andrew Miller, "(Cle - RP)"
Aarón Sánchez, "(Tor - SP,RP)"
Álex Rodríguez, "(NYY - Util)"
Jedd Gyorko, "(StL - 1B,2B,3B,SS)"
Colby Rasmus, "(Hou - CF)"
Michael Saunders, "(Tor - OF)"
Yu Darvish, "(Tex - SP)"
Drew Hutchison, "(Pit - SP,RP)"
Michael Fulmer, "(Det - SP)"
Joe Musgrove, "(Hou - SP)"
J.T. Chargois, "(Min - RP)"
T: Peaches
Yasmani Grandal, "(LAD - C)"
Carlos Santana, "(Cle - 1B)"
Brian Dozier, "(Min - 2B)"
Eugenio Suárez, "(Cin - 3B,SS)"
Corey Seager, "(LAD - SS)"
Randal Grichuk, "(StL - CF)"
Khris Davis, "(Oak - OF)"
Corey Dickerson, "(TB - OF)"
Chris Davis, "(Bal - 1B,OF)"
Cole Hamels, "(Tex - SP)"
Zack Greinke, "(Ari - SP)"
Jeremy Hellickson, "(Phi - SP)"
Francisco Liriano, "(Tor - SP)"
James Shields, "(CWS - SP)"
Marco Estrada, "(Tor - SP,RP)"
Michael Lorenzen, "(Cin - SP,RP)"
Kevin Siegrist, "(StL - RP)"
Hansel Robles, "(NYM - RP)"
Jay Bruce, "(NYM - OF)"
Melvin Upton Jr., "(Tor - CF)"
David Freese, "(Pit - 1B,3B)"
Cameron Maybin, "(Det - CF)"
Andre Ethier, "(LAD - OF)"
Dallas Keuchel, "(Hou - SP)"
Liam Hendriks, "(Oak - RP")
Homer Bailey, "(Cin - SP)"
Josh Tomlin, "(Cle - SP)"
Trevor May, "(Min - SP,RP)"
